[352.222919464] 2017-11-09 14:00:55,331 - INFO - launcher: Starting sanity checks
[354.228258133] 2017-11-09 14:00:55,333 - INFO - launcher: Checking for python 3.5+
[356.233835220] 2017-11-09 14:00:55,335 - INFO - launcher: Checking console encoding
[357.236146927] 2017-11-09 14:00:55,336 - INFO - launcher: Setting console encoding to UTF-8
[357.737302780] 2017-11-09 14:00:55,337 - INFO - launcher: Ensuring we're in the right folder
[397.844552994] 2017-11-09 14:00:55,377 - INFO - launcher: Adding local bins/ folder to path
[398.345232010] 2017-11-09 14:00:55,377 - INFO - launcher: Checks passed.
[398.846626282] 2017-11-09 14:00:55,378 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[23.3719961643218994] 2017-11-09 14:01:18,351 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8716), line 369 in join_voice_channel: (join_voice_channel) setting voice state
[23.3724975585937500] 2017-11-09 14:01:18,351 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8716), line 372 in join_voice_channel: (join_voice_channel) waiting for session id
[23.6026329994201660] 2017-11-09 14:01:18,582 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8716), line 2548 in on_voice_state_update: Voice state update for 295374062954217472/Jukebox#3482 on brencorp/Music -> [JOIN, CONNECT]
[23.6026329994201660] 2017-11-09 14:01:18,582 - INFO - musicbot.bot | In bot.py::MainThread(8716), line 2559 in on_voice_state_update: 295374062954217472/Jukebox#3482 has joined brencorp/Music
[23.6056404113769531] 2017-11-09 14:01:18,585 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8716), line 376 in join_voice_channel: (join_voice_channel) waiting for voice data
[23.8164911270141602] 2017-11-09 14:01:18,795 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8716), line 390 in join_voice_channel: (join_voice_channel) connecting...
[24.3032429218292236] 2017-11-09 14:01:19,282 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8716), line 402 in join_voice_channel: (join_voice_channel) connection successful
[24.3032429218292236] 2017-11-09 14:01:19,282 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 450 in get_voice_client: Connected in 0.9s
[24.3032429218292236] 2017-11-09 14:01:19,282 - INFO - musicbot.bot | In bot.py::MainThread(8716), line 451 in get_voice_client: Connected to brencorp/Music
[24.3037436008453369] 2017-11-09 14:01:19,283 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 784 in deserialize_queue: Deserializing queue for 199742567305183232
